judge,selector,coverage,risk
Phi-4,oracle,1.0,1.0039258682888874
Phi-4,random,1.0,1.0039258682888874
POOLED,cp_width,0.05,0.8041409364485697
POOLED,cp_width,0.1,0.8429513390017361
POOLED,cp_width,0.15,0.8741061285864961
POOLED,cp_width,0.2,0.9066489858766129
POOLED,cp_width,0.25,0.9280783916001847
POOLED,cp_width,0.3,0.9426294595350656
POOLED,cp_width,0.35,0.9492693403959102
POOLED,cp_width,0.39999999999999997,0.9584658001942566
POOLED,cp_width,0.44999999999999996,0.9675370077701292
POOLED,cp_width,0.49999999999999994,0.9789019946071441
POOLED,cp_width,0.5499999999999999,0.9848050436647748
POOLED,cp_width,0.6,0.9870361394701036
POOLED,cp_width,0.65,0.9911564885806103
POOLED,cp_width,0.7,0.9963639918528778
POOLED,cp_width,0.75,1.0030351765124186
POOLED,cp_width,0.7999999999999999,1.0090386923532852
POOLED,cp_width,0.85,1.0215534572427818
POOLED,cp_width,0.9,1.0309746291650872
POOLED,cp_width,0.95,1.0387744293537395
POOLED,cp_width,1.0,1.052947767420793
POOLED,judge_margin,0.05,1.078927659501043
POOLED,judge_margin,0.1,1.0091730316887637
POOLED,judge_margin,0.15,1.024092602039857
